No-no boy (2014 Edition),John Okada,University of Washington Press,6/1/2014,"No-No Boy tells the story of Ichiro Yamada, a fictional version of the real-life “no-no boys.” Yamada answered “no” twice in a compulsory government questionnaire as to whether he would serve in the armed forces and swear loyalty to the United States. Unwilling to pledge himself to the country that interned him and his family, Ichiro earns two years in prison and the hostility of his family and community when he returns home to Seattle. As Ozeki writes, Ichiro’s “obsessive, tormented” voice subverts Japanese postwar “model-minority” stereotypes, showing a fractured community and one man’s “threnody of guilt, rage, and blame as he tries to negotiate his reentry into a shattered world.”",9.78E+12,http://books.google.com/books/content?id=wrLuoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Fighting Colonialism with Hegemonic Culture,Maureen Trudelle Schwarz,Suny Press,1/2/2014,"How and why do American Indians appropriate images of Indianness for their own purposes? How do these representatives promote and sometimes challenge sovereignty for indigenous people locally and nationally? American Indians have recently taken on a new relationship with the hegemonic culture designed to oppress them. Rather than protesting it, they are currently earmarking images from it and using them for their own ends. This provocative book adds and interesting twist and nuance to our understanding of the five-hundred year interchange between American Indians and others. A host of examples of how American Indians use the so-called White Man s Indian reveal the key images and issues selected most frequently by the representatives of Native organizations or Native-owned businesses in the late twentieth century and the opening years of the twenty-first century to appropriate Indianness.""",9.78E+12,http://books.google.com/books/content?id=GYHDNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Seeing Red—Hollywood's Pixeled Skins,"LeAnne Howe,Harvey Markowitz,Denise K. Cummings",Michigan State University Press,3/1/2013,"At once informative, comic, and plaintive, Seeing Red—Hollywood’s Pixeled Skins is an anthology of critical reviews that reexamines the ways in which American Indians have traditionally been portrayed in film. From George B. Seitz’s 1925 The Vanishing American to Rick Schroder’s 2004 Black Cloud, these 36 reviews by prominent scholars of American Indian Studies are accessible, personal, intimate, and oftentimes autobiographic. Seeing Red—Hollywood’s Pixeled Skins offers indispensible perspectives from American Indian cultures to foreground the dramatic, frequently ridiculous difference between the experiences of Native peoples and their depiction in film. By pointing out and poking fun at the dominant ideologies and perpetuation of stereotypes of Native Americans in Hollywood, the book gives readers the ability to recognize both good filmmaking and the dangers of misrepresenting aboriginal peoples. The anthology offers a method to historicize and contextualize cinematic representations spanning the blatantly racist, to the well-intentioned, to more recent independent productions. Seeing Red is a unique collaboration by scholars in American Indian Studies that draws on the stereotypical representations of the past to suggest ways of seeing American Indians and indigenous peoples more clearly in the twenty-first century.",9.78E+12,http://books.google.com/books/content?id=EcyQMAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Wit,Margaret Edson,"Dramatists Play Service, Inc.",1999,"THE STORY: Vivian Bearing, Ph.D., a renowned professor of English who has spent years studying and teaching the brilliant and difficult metaphysical sonnets of John Donne, has been diagnosed with terminal ovarian cancer. Her approach to the study of Donne",9.78E+12,http://books.google.com/books/content?id=w10-QhqA7UEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Economics of Sports,"Michael A. Leeds,Peter von Allmen",Prentice Hall,1/8/2013,"Directed primarily toward undergraduate students in the Sports Economics course, this text also provides practical content to current and aspiring industry professionals. Core economic concepts developed through examples from the sports industry. The sports industry provides a seemingly endless set of examples from every area of microeconomics, giving readers the opportunity to study economics in a context that holds their interest. The Economics of Sports explores economic concepts and theory—industrial organization, public finance, and labor economics—in the context of applications and examples from American and international sports.",9.78E+12,http://books.google.com/books/content?id=rnWBMAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Lost at School,Ross W. Greene,Simon and Schuster,10/20/2009,"Counsels parents and educators on how to safeguard the interests of children with behavioral, emotional, and social challenges, in a guide that identifies the misunderstandings and practices that are contributing to a growing number of student failures.",9.78E+12,http://books.google.com/books/content?id=F-r2F0BXMNEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Oleanna,David Mamet,"Dramatists Play Service, Inc.",1993,A male college professor uses an interview with one of his female students to take advantage of her.,9.78E+12,http://books.google.com/books/content?id=HPz2K689brAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Streetcar Named Desire,Tennessee Williams,New Directions Publishing,1947,Tennessee Williams' classic drama studies the emotional disintegration of a Southern woman whose last chance for happiness is destroyed by her vindictive brother-in-law.,9.78E+12,http://books.google.com/books/content?id=VcyFkNOYsFgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Angry Black White Boy,Adam Mansbach,Random House LLC,2005,"A suburban white boy obsessed by the subcultures of black art and life, Macon Detornay turns his love of black culture into violence against the white passengers of the cab he drives, an anger that he channels into the creation of the Race Traitor Project, a movement of self-loathing white people, aimed at organizing a National Day of Apology. Original. 20,000 first printing.",9.78E+12,http://books.google.com/books/content?id=g9xlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
I Am Not Sidney Poitier,Percival Everett,Graywolf Press,5/26/2009,"I Am Not Sidney Poitier is an irresistible comic novel from the master storyteller Percival Everett, and an irreverent take on race, class, and identity in America I was, in life, to be a gambler, a risk-taker, a swashbuckler, a knight. I accepted, then and there, my place in the world. I was a fighter of windmills. I was a chaser of whales. I was Not Sidney Poitier. Not Sidney Poitier is an amiable young man in an absurd country. The sudden death of his mother orphans him at age eleven, leaving him with an unfortunate name, an uncanny resemblance to the famous actor, and, perhaps more fortunate, a staggering number of shares in the Turner Broadcasting Corporation. Percival Everett's hilarious new novel follows Not Sidney's tumultuous life, as the social hierarchy scrambles to balance his skin color with his fabulous wealth. Maturing under the less-than watchful eye of his adopted foster father, Ted Turner, Not gets arrested in rural Georgia for driving while black, sparks a dinnertable explosion at the home of his manipulative girlfriend, and sleuths a murder case in Smut Eye, Alabama, all while navigating the recurrent communication problem: ""What's your name?"" a kid would ask. ""Not Sidney,"" I would say. ""Okay, then what is it?""",9.78E+12,http://books.google.com/books/content?id=Ln7qPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Tales of Terror and Detection,Edgar Allan Poe,Courier Corporation,10/4/1995,"These five stories engagingly reveal Poe's virtuoso gifts for both crime detection and the macabre. Two of his most famous tales, ""The Mystery of Marie Roget"" and ""The Purloined Letter"" introduce C. Auguste Dupin, the first fictional detective. ""William Wilson"" is a chilling tale of crime and evil. Also included: two tales of terror: ""MS. Found in a Bottle"" and ""The Oblong Box.""",9.78E+12,http://books.google.com/books/content?id=AzYjAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Prime of Miss Jean Brodie,Muriel Spark,Harper Collins,2/10/2009,"At the staid Marcia Blaine School for Girls, in Edinburgh, Scotland, teacher extraordinaire Miss Jean Brodie is unmistakably, and outspokenly, in her prime. She is passionate in the application of her unorthodox teaching methods, in her attraction to the married art master, Teddy Lloyd, in her affair with the bachelor music master, Gordon Lowther, and—most important—in her dedication to ""her girls,"" the students she selects to be her crème de la crème. Fanatically devoted, each member of the Brodie set—Eunice, Jenny, Mary, Monica, Rose, and Sandy—is ""famous for something,"" and Miss Brodie strives to bring out the best in each one. Determined to instill in them independence, passion, and ambition, Miss Brodie advises her girls, ""Safety does not come first. Goodness, Truth, and Beauty come first. Follow me."" And they do. But one of them will betray her.",9.78E+12,http://books.google.com/books/content?id=snEHxtiFME8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Peter Pan,James Matthew Barrie,Penguin,2004,"All children, except one, grow up.' Peter Pan originally appeared as a baby living a magical life among birds and fairies in J.M. Barrie's sequence of stories, Peter Pan in Kensington Gardens. His later role as flying boy hero of Neverland was brought to the stage by Barrie's play Peter Pan (1904), which was transformed into the novel Peter and Wendy in 1911. In a narrative filled with vivid characters, epic battles, pirates, fairies, and fantastic imagination, Peter Pan's adventures capture the spirit of childhood and of rebellion against the role of adulthood in conventional society. This edition includes the novel and the stories, and reproduces the original illustrations by Francis Donkin Bedford and Arthur Rackham. In his introduction, Jack Zipes sifts through the psychological interpretations that have engaged critics, explores the cultural and literary contexts in which we can appreciate Barrie's enduring creation, and shows why Peter Pan is fundamentally a work that urges adults to reconnect with their own imagination.",9.78E+12,http://books.google.com/books/content?id=duZlF7Pf7EkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
